name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG,birth
(Unknown) Clark,14,39,5,9,2,0,0,5,7,0,4,0,0.356,0.289,0.645,3,1928,1944,0.079,1914
(Unknown) Cross,20,66,13,14,1,2,0,4,5,0,1,0,0.268,0.288,0.556,1,1932,1932,0.212,1910
(Unknown) Goldie,15,36,5,8,3,0,0,4,3,0,2,0,1.019,1.058,2.077,3,1926,1928,0.2793333333333334,1905
(Unknown) Howard,11,31,4,8,1,0,0,4,1,0,0,0,0.571,0.5860000000000001,1.157,2,1921,1946,0.265,1911
(Unknown) Jones,16,44,4,11,0,0,0,2.2222222222222223,2,1,1.25,0,2.15,1.861,4.011,10,1884,1948,0.1861,1894
(Unknown) Robinson,19,41,2,5,1,0,0,3,0,0,0,0,0.629,0.494,1.123,4,1922,1944,0.1155,1911
(Unknown) Scott,14,57,10,12,1,1,1,0,2,0,0,0,0,0.34,0,2,1884,1938,0.113,1889
(Unknown) Smith,18,53,4,9,0,0,0,3.375,2,0,0,0,2.570625,2.381,5.02425,9,1884,1938,0.2645555555555556,1889
(Unknown) Tompkins,11,37,3,7,1,0,0,3,3,0,1,0,0.286,0.216,0.502,1,1920,1920,0.189,1898
(Unknown) Valdez,9,36,2,6,0,0,0,1,1,0,0,0,0.189,0.167,0.356,1,1932,1932,0.167,1910
(Unknown) Whitlock,12,39,2,9,1,0,0,0,2,0,0,0,0.268,0.256,0.524,1,1926,1926,0.231,1904
(Unknown) Wills,9,36,3,5,3,0,0,0,0,0,0,0,0.139,0.222,0.361,1,1884,1884,0.139,1862
A.J. Ellis,672,1948,194,466,82,3,44,229,280,414,2,4,3.201,3.248,6.449,11,2008,2018,0.2076363636363636,1991
A.J. Hinch,350,953,104,209,28,3,32,112,71,214,13,6,1.865,2.334,4.199,7,1998,2004,0.2124285714285714,1979
A.J. Pierzynski,2059,7290,807,2043,407,24,188,909,308,895,15,23,6.116,7.763,13.879,19,1998,2016,0.2803157894736842,1985
AJ Pollock,1087,3787,575,1032,225,32,145,485,291,736,122,29,3.832,5.412,9.244,12,2012,2023,0.2624166666666667,1995
AJ Reed,62,175,12,26,3,0,4,12,22,71,0,0,0.474,0.4669999999999999,0.941,4,2016,2019,0.075,1995
Aaron Altherr,359,1016,142,222,54,10,37,150,110,332,21,10,1.409,1.79,3.199,6,2014,2019,0.1621666666666666,1994
Aaron Boone,1152,3871,519,1017,216,17,126,555,303,707,107,30,3.674,4.52,8.194,12,1997,2009,0.2429166666666666,1981
Aaron Clapp,36,146,24,39,9,3,0,18,6,10,0,0,0,0.37,0,1,1879,1879,0.267,1857
Aaron Cunningham,222,452,47,99,31,3,7,51,34,110,4,6,1.354,1.676,3.03,5,2008,2012,0.2083999999999999,1988
Aaron Guiel,307,970,151,239,58,0,35,128,83,218,8,12,1.598,2.02,3.618,5,2002,2006,0.2404,1982
Aaron Hicks,981,3135,469,724,120,15,109,392,461,793,71,26,3.845,4.367,8.212,12,2013,2024,0.2214166666666666,1996
Aaron Hill,1559,5646,736,1501,325,22,162,695,443,847,74,35,4.132,5.149,9.281,13,2005,2017,0.2551538461538462,1989
Aaron Holbert,23,30,3,6,3,0,0,2,3,8,1,0,0.29,0.333,0.623,2,1996,2005,0.111,1978
Aaron Judge,993,3564,736,1026,173,5,315,716,693,1209,53,16,3.456,5.138,8.594,9,2016,2024,0.2729999999999999,1998
Aaron Ledesma,284,754,94,223,38,4,2,76,44,111,11,8,1.724,1.731,3.455,5,1995,2000,0.2815999999999999,1975
Aaron Miles,932,2827,347,793,110,18,19,229,162,294,30,18,2.824,3.304,6.128,9,2003,2011,0.2797777777777778,1985
Aaron Pointer,40,101,11,21,5,0,2,15,18,33,2,1,0.96,0.957,1.917,3,1963,1967,0.2343333333333333,1943
Aaron Robinson,610,1839,208,478,74,11,61,272,337,194,0,6,2.607,2.85,5.457,8,1943,1951,0.225,1925
Aaron Rowand,1358,4374,613,1193,267,18,136,536,261,914,67,30,3.608,4.722,8.33,11,2001,2011,0.2712727272727273,1984
Aaron Schunk,39,94,14,22,3,0,2,7,4,31,0,1,0.265,0.33,0.595,1,2024,2024,0.234,2002
Aaron Ward,1062,3611,457,966,158,54,50,446,339,457,36,50.66666666666666,3.552,3.746,7.298,12,1917,1928,0.2301666666666666,1900
Ab Wright,139,355,37,88,20,1,9,53,28,48,2,2,0.617,0.766,1.383,2,1935,1944,0.247,1917
Abbie Johnson,73,248,26,59,8,2,0,37,17,6,2,0,0.567,0.5680000000000001,1.135,2,1896,1897,0.236,1874
Abner Dalrymple,951,4172,813,1202,217,81,43,407,204,359,174,0,3.612,4.835,7.788,12,1878,1891,0.2875,1862
Abner Powell,48,191,36,54,10,5,0,0,3,0,0,0,0,0.387,0,1,1884,1884,0.283,1862
Abraham Almonte,463,1236,169,288,73,13,24,118,119,327,27,9,3.171,3.767,6.938,11,2013,2023,0.2128181818181818,1996
Abraham Toro,365,1179,145,259,47,4,34,134,87,228,14,7,1.911,2.486,4.397,6,2019,2024,0.2458333333333333,1999
Abraham M. Nunez,136,302,42,63,10,1,6,35,34,74,1,4,0.415,0.437,0.852,2,2002,2004,0.1659999999999999,1981
Abraham O. Nunez,1030,2486,286,601,88,19,18,209,250,447,38,16,3.401,3.426,6.827,12,1997,2008,0.2138333333333333,1980
Ace Parker,94,207,20,37,5,1,2,25,14,33,1,2,0.4459999999999999,0.476,0.922,2,1937,1938,0.1735,1915
Ace Stewart,97,365,52,88,8,10,8,76,39,40,14,0,0.314,0.384,0.698,1,1895,1895,0.241,1873
Adael Amador,10,35,1,6,1,0,0,0,1,6,1,0,0.194,0.2,0.394,1,2024,2024,0.171,2002
Adalberto Mondesi,358,1273,180,311,54,20,38,157,60,412,133,26,1.811,2.456,4.267,7,2016,2022,0.2171428571428571,1997
Adam Comorosky,813,2787,404,795,134,51,28,417,214,158,57,0,3.234,3.785,7.019,10,1926,1935,0.2745,1908
Adam DeBus,38,131,9,30,5,4,0,7,7,14,2,0,0.279,0.328,0.607,1,1917,1917,0.229,1895
Adam Dunn,2001,6883,1097,1631,334,10,462,1168,1317,2379,63,25,5.073,6.83,11.903,14,2001,2014,0.2357857142857143,1985
