name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG,birth
Adam Duvall,1026,3393,456,771,171,15,195,566,247,1074,22,12,3.133,5.014,8.147,11,2014,2024,0.2245454545454545,1997
Adam Eaton,915,3439,566,950,167,46,66,319,346,679,87,32,3.5,4.044,7.544,10,2012,2021,0.2686,1994
Adam Engel,528,1419,173,318,65,11,30,123,76,452,47,18,1.756,2.284,4.04,7,2017,2023,0.2019999999999999,1998
Adam Everett,880,2758,334,668,135,15,40,283,174,455,67,21,2.859,3.154,6.013,11,2001,2011,0.2085454545454545,1984
Adam Frazier,1066,3425,468,903,180,28,60,339,282,515,55,32,2.926,3.459,6.385,9,2016,2024,0.2607777777777778,1998
Adam Haseley,158,379,49,98,22,0,5,43,27,96,5,0,1.477,1.492,2.969,5,2019,2023,0.2387999999999999,1999
Adam Hyzdu,221,358,54,82,18,0,19,61,41,98,1,1,2.193,3.215,5.408,7,2000,2006,0.2541428571428571,1981
Adam Jones,1823,7009,963,1939,336,29,282,945,340,1395,97,35,4.356,6.152,10.508,14,2006,2019,0.2704285714285714,1990
Adam Kennedy,1691,5473,682,1488,288,42,80,571,401,839,179,62,4.53,5.296,9.826,14,1999,2012,0.2682857142857143,1983
Adam LaRoche,1605,5593,752,1452,340,13,255,882,649,1407,13,11,3.986,5.384,9.37,12,2004,2015,0.254,1987
Adam Lind,1344,4577,588,1247,259,12,200,723,393,945,7,5,4.021,5.659,9.68,12,2006,2017,0.28025,1989
Adam Loewen,14,32,4,6,1,0,1,4,3,13,0,0,0.297,0.313,0.61,1,2011,2011,0.188,1989
Adam Melhuse,311,735,76,172,40,1,24,98,57,193,1,2,2.232,2.794,5.026,8,2000,2008,0.219,1982
Adam Moore,104,292,21,58,12,0,7,23,13,95,2,1,2.107,2.946,5.053,9,2009,2018,0.1925555555555555,1991
Adam Piatt,212,521,62,129,31,6,16,65,57,149,3,4,1.268,1.637,2.905,4,2000,2003,0.24275,1979
Adam Riggs,61,153,18,33,9,1,3,10,16,30,6,2,1.129,1.242,2.371,4,1997,2004,0.2085,1978
Adam Rosales,653,1621,186,367,69,6,48,179,135,451,17,12,3.028,3.804,6.832,11,2008,2018,0.2141818181818181,1991
Adam Stern,54,43,7,5,1,0,1,7,0,10,2,1,0.378,0.533,0.911,4,2005,2010,0.07075,1985
Adam Young,16,39,2,3,0,0,0,1,8,2,0,0,0.265,0.077,0.342,1,1941,1941,0.077,1919
Addison Barger,69,208,20,41,11,0,7,28,14,60,2,0,0.25,0.351,0.601,1,2024,2024,0.197,2002
Addison Russell,615,1987,256,480,100,9,60,253,186,532,17,5,1.557,1.955,3.512,5,2015,2019,0.2412,1995
Adeiny Hechavarría,922,3071,311,778,116,36,37,273,163,550,35,19,2.622,3.203,5.825,9,2012,2020,0.253,1994
Adley Rutschman,415,1557,222,407,87,3,52,201,215,290,6,2,1.054,1.271,2.325,3,2022,2024,0.2603333333333333,2001
Admiral Schlei,640,1918,195,455,52,21,6,209,172,11,38,0,2.158,2.013,4.171,8,1904,1911,0.2045,1885
Adolfo Phillips,649,1875,270,463,86,21,59,173,251,485,82,44,2.589,2.63,5.219,8,1964,1972,0.21075,1946
Adolis García,631,2344,344,560,117,7,122,384,183,740,61,17,1.459,1.994,3.453,6,2018,2024,0.18,1999
Adonis García,244,896,104,239,45,0,29,110,36,151,7,2,0.877,1.25,2.127,3,2015,2017,0.2623333333333333,1994
Adonis Terry,256,979,142,249,24,22,8,144,66,34,88.5,0,0.88,1.008,1.888,3,1885,1890,0.247,1865
Adrian Beltré,2933,11068,1524,3166,636,38,477,1707,848,1732,121,42,7.079,9.974,17.053,21,1998,2018,0.2835714285714286,1986
Adrian Brown,447,1134,166,293,44,8,11,86,109,161,45,15,2.636,2.652,5.288,9,1997,2006,0.2372222222222222,1979
Adrian Cardenas,45,60,5,11,6,0,0,2,7,13,0,0,0.269,0.283,0.552,1,2012,2012,0.183,1990
Adrian Del Castillo,25,80,12,25,5,0,4,19,7,28,1,1,0.368,0.525,0.893,1,2024,2024,0.313,2002
Adrian Garrett,163,276,30,51,8,0,11,37,31,87,4,0,1.283,1.301,2.584,8,1966,1976,0.0905,1949
Adrian Nieto,48,106,8,25,5,0,2,7,8,38,0,1,0.296,0.34,0.636,1,2014,2014,0.236,1992
Adrián González,1929,7139,997,2050,437,12,317,1202,782,1401,6,7,5.131,6.9590000000000005,12.09,15,2004,2018,0.2766666666666666,1989
Adrián Sanchez,106,195,22,51,11,1,0,16,6,47,0,2,1.142,1.251,2.393,4,2017,2021,0.25675,1997
Adron Chambers,84,88,11,19,1,3,0,9,8,30,2,2,0.916,1.113,2.029,3,2011,2013,0.2503333333333333,1990
Agustin Bejerano,47,185,29,54,6,1,1,25,11,1,3,0,0.646,0.64,1.286,2,1928,1929,0.271,1906
Agustin Parpetti,25,73,8,20,1,0,1,14,4,0,4,0,0.673,0.663,1.336,2,1921,1923,0.286,1900
Akil Baddoo,340,999,137,226,38,12,28,103,119,302,42,13,1.149,1.378,2.527,4,2021,2024,0.2045,2000
Akinori Iwamura,408,1545,222,413,74,22,16,117,183,330,32,16,1.348,1.431,2.779,4,2007,2010,0.2555,1986
Al Baird,50,107,9,27,1,0,0,9,7,11,5,0,0.6299999999999999,0.5449999999999999,1.175,2,1917,1919,0.2664999999999999,1896
Al Bool,129,308,35,73,13,4,7,53,34,42,0,0,0.7450000000000001,0.792,1.537,3,1928,1931,0.1966666666666666,1907
Al Boucher,147,516,62,119,26,4,2,49,52,88,13,0,0.304,0.308,0.612,1,1914,1914,0.231,1892
Al Brancato,282,930,117,199,37,11,4,80,96,92,5,6,1.018,1.04,2.058,4,1939,1945,0.18725,1920
Al Bridwell,1253,4169,457,1064,95,32,2,348,557,98,136,0,3.731,3.222,6.953,11,1905,1915,0.252,1888
Al Bumbry,1496,5053,778,1422,220,52,54,402,471,709,254,92,4.719,5.309,10.028,14,1972,1985,0.2779285714285714,1956
Al Burch,614,2185,254,554,48,20,4,103,186,52,96,0,1.859,1.763,3.622,6,1906,1911,0.2498333333333333,1886
Al Chambers,57,120,15,25,4,0,2,11,21,34,2,2,0.645,0.605,1.25,3,1983,1985,0.1443333333333333,1962
Al Cihocki,92,283,21,60,9,3,0,24,11,48,2,1,0.241,0.265,0.506,1,1945,1945,0.212,1923
Al Cowens,1584,5534,704,1494,276,68,108,717,389,659,120,75,4.027,4.973,9,13,1974,1986,0.2610769230769231,1958
Al Cuccinello,54,165,27,41,7,1,4,20,1,20,0,0,0.262,0.376,0.638,1,1935,1935,0.248,1913
Al Dwight,12,43,8,10,2,0,0,0,2,0,0,0,0,0.279,0,1,1884,1884,0.233,1862
Al Evans,704,2053,188,514,70,23,13,211,243,206,14,9,3.974,3.677,7.651,12,1939,1951,0.24125,1923
Al Federoff,76,235,14,56,4,2,0,14,16,13,1,0,0.294,0.277,0.571,2,1951,1952,0.121,1929
Al Ferrara,574,1382,148,358,60,7,51,198,156,286,0,1,2.402,2.692,5.094,8,1963,1971,0.2195,1945
Al Flair,10,30,3,6,2,1,0,2,1,1,1,1,0.226,0.333,0.559,1,1941,1941,0.2,1919
Al Frazier,64,216,30,54,8,0,0,25,18,2,2,0,0.96,0.8460000000000001,1.806,3,1938,1940,0.2446666666666666,1917
Al Gallagher,442,1264,114,333,42,9,11,130,138,164,7,6,1.335,1.321,2.656,4,1970,1973,0.2595,1949
Al Gionfriddo,228,580,95,154,22,12,2,58,91,39,15,0,1.35,1.105,2.455,4,1944,1947,0.22025,1923
Al Glossop,309,952,99,199,29,2,15,86,89,105,5,0,1.357,1.166,2.523,5,1939,1946,0.162,1920
Al Greene,29,59,9,8,1,0,3,6,10,15,0,1,0.257,0.305,0.562,1,1979,1979,0.136,1957
Al Hall,70,314,31,80,7,3,0,14,3,13,0,0,0,0.426,0,2,1879,1880,0.1915,1857
Al Halt,257,854,76,204,30,9,6,90,61,130,35,0,0.8460000000000001,0.8460000000000001,1.692,3,1914,1918,0.2193333333333333,1894
Al Heist,177,495,63,126,20,6,8,46,52,72,6,4,0.939,1.031,1.97,3,1960,1962,0.2506666666666666,1939
Al Hermann,32,94,2,22,4,0,0,11,0,8,3,2,0.237,0.28,0.517,2,1923,1924,0.1185,1901
Al Kaiser,155,481,58,104,15,7,3,38,34,82,16,0,0.5680000000000001,0.605,1.173,3,1911,1914,0.149,1890
Al Kaline,2834,10116,1622,3007,498,75,399,1583,1277,1020,137,65,8.17,10.386,18.556,22,1953,1974,0.2938181818181818,1941
Al Kozar,285,992,118,252,41,10,6,94,96,86,6,3,0.919,0.96,1.879,3,1948,1950,0.2446666666666666,1927
Al Lakeman,239,646,40,131,17,5,15,66,36,137,0,0,1.712,1.733,3.445,9,1942,1954,0.1432222222222222,1926
Al Libke,254,880,73,236,45,6,9,95,77,112,6,0,0.658,0.726,1.384,2,1945,1946,0.268,1923
Al Lopez,1950,5916,613,1547,206,43,51,652,556,538,46,19,5.892,5.952,11.844,19,1928,1947,0.2482631578947368,1915
Al Luplow,481,1243,147,292,34,6,33,125,127,213,8,11,1.749,1.832,3.581,7,1961,1967,0.1795714285714285,1942
Al Martin,1232,4242,664,1172,220,48,132,485,390,879,173,65,3.53,4.699,8.229,11,1992,2003,0.2636363636363636,1975
Al Maul,205,721,88,170,19,16,5,93,85,124,36,0,1.367,1.386,2.753,4,1887,1891,0.244,1867
Al McCauley,171,624,99,160,30,15,2,73,87,51,17,0,0.724,0.742,1.466,2,1890,1891,0.263,1868
Al Montgomery,42,52,4,10,1,0,0,4,9,8,0,0,0.323,0.212,0.535,1,1941,1941,0.192,1919
Al Moore,30,89,12,19,4,0,0,10,6,9,2,2,0.489,0.397,0.886,2,1925,1926,0.1735,1903
Al Moran,135,353,28,69,5,2,1,27,38,62,3,7,0.554,0.457,1.011,2,1963,1964,0.21,1941
Al Myers,833,3222,429,788,135,34,13,410.2857142857143,294,263,148,0,2.6064,2.667,5.1056,8,1884,1891,0.252375,1865
Al Newman,854,2107,264,476,68,7,1,156,236,212,91,55,2.35,2.024,4.3740000000000006,8,1985,1992,0.21525,1966
Al Nichols,63,231,21,42,4,1,0,9,2,5,0,0,0,0.514,0,2,1876,1877,0.195,1854
Al Niehaus,68,211,23,58,18,2,0,21,14,15,1,4,0.326,0.379,0.705,1,1925,1925,0.275,1903
Al Niemiec,78,235,24,47,3,2,1,23,29,20,2,2,0.577,0.4649999999999999,1.042,2,1934,1936,0.208,1913
Al Nixon,422,1345,180,372,60,13,7,118,66,77,19,27,3.596,3.785,7.381,9,1915,1928,0.3668888888888889,1899
Al Oliver,2368,9049,1189,2743,529,77,219,1326,535,756,84,64,5.95,7.718,13.668,18,1968,1985,0.2920555555555555,1954
Al Orth,23,34,3,9,0,1,0,5,5,0,1,0,0.359,0.324,0.683,1,1909,1909,0.265,1887
Al Pardo,53,129,6,17,2,0,1,4,3,31,0,0,0.304,0.363,0.667,4,1985,1989,0.0675,1965
Al Pedrique,174,449,32,111,18,1,1,36,29,61,5,4,0.808,0.818,1.626,3,1987,1989,0.2256666666666666,1966
Al Pilarcik,668,1614,205,413,66,7,22,143,185,150,41,18,1.955,2.012,3.967,6,1956,1961,0.2483333333333333,1936
Al Rosen,1044,3725,603,1063,165,20,192,717,587,385,39,33,3.279,3.979,7.258,10,1947,1956,0.2471,1929
Al Rubeling,253,747,94,186,31,12,8,79,77,95,8,10,1.28,1.341,2.621,4,1940,1944,0.25375,1920
Al Sauter,14,41,1,4,0,0,0,0,11,0,0,0,0.288,0.098,0.386,1,1890,1890,0.098,1868
Al Scheer,281,931,141,262,48,20,5,105,116,81,41,0,1.041,1.029,2.07,3,1913,1915,0.2666666666666666,1892
Al Schellhase,16,49,5,7,0,0,0,2,2,12,3,0,0.357,0.288,0.645,2,1890,1891,0.144,1868
Al Schweitzer,284,874,97,208,28,8,3,87,104,0,47,0,1.313,1.182,2.495,4,1908,1911,0.24,1887
Al Shaw,654,2006,266,526,83,31,15,202,208,104,70,0,2.709,2.596,5.305,9,1901,1915,0.2264444444444444,1886
Al Simmons,2215,8759,1507,2927,539,149,307,1827,615,737,88,67.36842105263158,7.35,9.938,17.288,20,1924,1944,0.3249,1912
Al Smith,1557,5499,866,1500,263,51,168,701,687,769,70,49.61538461538461,5.298,6.323,11.621,15,1946,1964,0.2722666666666666,1933
Al Spalding,61,258,29,67,7,6,0,35,3,16,0,0,0,0.831,0,2,1877,1878,0.378,1855
Al Spangler,912,2267,307,594,87,26,21,175,295,234,37,32,5.02,5.11,10.13,13,1959,1971,0.3034615384615385,1943
Al Spohrer,757,2218,213,575,103,25,6,199,124,166,13,0,2.35,2.587,4.937,8,1928,1935,0.253375,1909
Al Stokes,47,138,14,25,3,4,0,7,12,36,0,0,0.502,0.517,1.019,2,1925,1926,0.1875,1903
Al Todd,863,2785,286,768,119,29,35,366,104,243,18,0,3.029,3.569,6.598,11,1932,1943,0.2473636363636363,1915
Al Unser,120,338,41,85,15,4,4,30,32,43,0,1.3333333333333333,1.257,1.379,2.636,4,1942,1945,0.252,1921
Al Vancamp,140,444,44,116,20,6,0,41,24,42,4,2,0.806,0.941,1.747,3,1928,1932,0.2443333333333333,1908
Al Weis,800,1578,195,346,45,11,7,115,117,299,55,22,2.655,2.363,5.018,10,1962,1971,0.1891,1944
Al Wickland,445,1468,212,397,58,38,12,144,207,184,58,0,1.587,1.757,3.3440000000000003,5,1913,1919,0.2392,1894
Al Wingo,493,1326,224,409,87,19,9,191,211,119,23,26.4,2.309,2.421,4.73,6,1919,1928,0.2938333333333333,1901
Al Woods,618,1986,233,538,98,14,35,196,167,180,23,24,2.283,2.834,5.117,7,1977,1986,0.2721428571428571,1959
Al Yates,24,47,5,13,2,0,1,4,3,7,1,0,0.308,0.383,0.691,1,1971,1971,0.277,1949
Al Zarilla,1120,3535,507,975,186,43,61,456,415,382,33,33,3.497,3.799,7.296,10,1943,1953,0.2643,1926
Alan Ashby,1370,4123,397,1010,183,13,90,513,461,622,7,10,5.249,5.805,11.054,17,1973,1989,0.2325294117647059,1959
Alan Bannister,972,3007,430,811,143,28,19,288,292,318,108,37,3.864,3.947,7.811,12,1974,1985,0.2528333333333333,1957
Alan Knicely,228,521,48,111,17,0,12,61,68,128,1,4,2.264,2.787,5.051,8,1979,1986,0.19475,1960
Alan Storke,266,863,68,225,22,11,2,74,45,0,17,0,1.204,1.29,2.494,4,1906,1909,0.25775,1885
Alan Strange,314,947,93,211,39,7,1,89,109,54,6,3,1.535,1.428,2.963,5,1934,1942,0.228,1916
Alan Trammell,2293,8288,1231,2365,412,55,185,1003,850,874,236,109,6.857,7.878,14.735,20,1977,1996,0.2768,1964
Alan Trejo,174,434,50,99,19,0,9,47,26,112,6,3,1.042,1.236,2.278,4,2021,2024,0.21575,2000
Alan Wiggins,631,2247,346,581,61,19,5,118,235,193,242,68,2.33,2.172,4.502,7,1981,1987,0.27,1962
Alan Zinter,67,78,7,13,4,0,3,9,5,34,0,0,0.436,0.671,1.107,2,2002,2004,0.1709999999999999,1981
Albert Almora,600,1491,189,386,76,5,33,163,86,290,7,6,1.935,2.381,4.316,7,2016,2022,0.2288571428571428,1997
Albert Belle,1539,5853,974,1726,389,21,381,1239,683,961,88,41,4.212,6.455,10.667,12,1989,2000,0.283,1972
Albert DeVormer,196,477,50,123,20,5,2,57,20,46,7,0,1.447,1.749,3.196,5,1918,1927,0.2638,1900
Albert Hall,375,805,125,202,37,8,5,53,89,115,67,29,2.37,1.822,4.192,9,1981,1989,0.1514444444444444,1963
Albert Pujols,3080,11421,1914,3384,686,16,703,2218,1373,1404,117,43,8.032,11.752,19.784,22,2001,2022,0.2910454545454545,1989
Alberto Callaspo,1093,3556,391,941,170,14,52,369,350,365,22,14,3.217,3.456,6.673,10,2006,2015,0.2579,1988
Alberto Castillo,418,1026,98,226,39,2,12,101,103,219,3,6,3.279,3.5540000000000003,6.833,12,1995,2007,0.2100833333333333,1979
Alberto Gonzalez,426,950,97,227,46,7,4,91,45,130,2,5,1.741,1.968,3.709,7,2007,2013,0.2127142857142857,1988
Alberto Hernandez,27,102,11,26,7,0,0,9,5,0,1,0,0.309,0.324,0.633,1,1941,1941,0.255,1919
Alberto Rosario,23,41,3,7,2,0,0,2,2,6,0,0,0.225,0.237,0.462,2,2016,2017,0.092,1994
Albie Pearson,988,3077,485,831,130,24,28,214,477,195,77,33,2.893,2.711,5.604,9,1958,1966,0.2321111111111111,1940
Alcides Escobar,1554,5750,670,1486,249,58,45,478,253,864,178,45,4.054,4.63,8.684,13,2008,2022,0.2776923076923077,1993
Alec Bohm,599,2238,285,620,125,5,59,336,160,437,16,7,1.679,2.106,3.785,5,2020,2024,0.2838,2000
Alec Burleson,275,910,109,233,41,1,30,117,63,130,13,5,0.878,1.081,1.959,3,2022,2024,0.2336666666666667,2001
Aleck Smith,286,955,107,252,30,11,1,130,26,0,37,0,2.416,2.51,4.926,9,1897,1906,0.2422222222222222,1879
Aledmys Díaz,705,2327,291,602,140,5,78,294,156,394,15,11,2.574,3.541,6.115,9,2016,2024,0.2395555555555555,1998
Alejandro Crespo,57,225,40,69,11,5,5,39,18,1,2,0,0.7190000000000001,0.939,1.658,2,1940,1946,0.309,1921
Alejandro De Aza,838,2575,367,669,131,33,51,258,225,622,91,44,3.209,3.8,7.009,10,2007,2017,0.2566,1990
Alejandro Freire,25,65,7,16,3,0,1,4,6,17,0,0,0.319,0.338,0.657,1,2005,2005,0.246,1983
Alejandro Kirk,434,1371,139,362,64,1,36,187,160,180,0,0,1.753,2.151,3.904,5,2020,2024,0.281,2000
Alejandro Oms,275,1036,206,341,69,18,31,215,128,4,32,0,2.826,3.624,6.45,7,1923,1935,0.3288571428571428,1907
Alejandro Sanchez,109,214,28,49,7,3,8,21,1,66,4,5,1.1909999999999998,1.9,3.091,6,1982,1987,0.1899999999999999,1962
Alejo Lopez,76,170,19,45,6,1,1,11,9,27,3,1,1.075,1.592,2.667,3,2021,2023,0.341,2000
Alek Thomas,277,850,109,192,39,7,20,95,48,177,17,5,0.793,1.076,1.869,3,2022,2024,0.2166666666666666,2001
Alen Hanson,261,585,82,136,27,8,12,55,26,145,21,7,1.038,1.192,2.23,4,2016,2019,0.2155,1995
Alex Arias,775,1773,203,470,84,6,18,196,181,211,10,5,3.48,3.41,6.89,11,1992,2002,0.2366363636363636,1975
Alex Avila,1052,3060,352,714,155,9,105,397,528,1068,8,8,4.513,5.021,9.534,13,2009,2021,0.2234615384615385,1993
Alex Blandino,135,234,29,53,9,0,2,16,31,83,1,0,1.061,0.907,1.968,3,2018,2021,0.228,1997
Alex Bregman,1111,4157,694,1132,265,18,191,663,576,646,42,14,3.231,4.298,7.529,9,2016,2024,0.2692222222222222,1998
Alex Cabrera,31,80,10,21,2,1,5,14,4,21,0,0,0.299,0.5,0.799,1,2000,2000,0.263,1978
Alex Call,205,588,76,136,26,2,16,65,80,127,17,12,1.068,1.244,2.312,3,2022,2024,0.26,2001
Alex Castellanos,24,41,5,7,1,1,2,4,0,13,0,0,0.367,0.78,1.147,2,2012,2013,0.1704999999999999,1990
Alex Cintron,680,2056,244,565,104,21,33,222,112,230,18,14,2.621,3.285,5.906,9,2001,2009,0.2491111111111111,1983
Alex Clark,12,40,3,6,0,0,1,3,2,0,1,0,0.227,0.225,0.452,1,1931,1931,0.15,1909
Alex Cole,573,1760,286,493,58,26,5,117,217,296,148,59,2.502,2.521,5.023,7,1990,1996,0.2808571428571428,1971
Alex Cora,1273,3408,360,828,140,39,35,286,248,423,47,21,4.126,4.426,8.552,14,1998,2011,0.2298571428571428,1982
Alex Crumbley,13,48,8,14,1,1,1,6,3,0,1,0,0.6990000000000001,0.924,1.623,2,1937,1938,0.311,1915
Alex Diaz,366,816,102,195,31,7,8,75,33,107,41,25,1.936,2.279,4.215,8,1992,1999,0.217625,1973
Alex Dickerson,339,902,136,230,49,8,40,132,81,204,7,2,1.784,2.402,4.186,6,2015,2022,0.2391666666666666,1996
Alex Escobar,125,388,53,100,14,4,13,52,41,112,5,1,1.281,1.728,3.009,4,2001,2006,0.26,1981
Alex Farmer,12,30,1,5,1,0,0,2,1,0,0,0,0.194,0.2,0.394,1,1908,1908,0.167,1886
Alex Gaston,215,514,58,112,13,6,3,40,29,56,5,0,1.404,1.601,3.005,6,1920,1929,0.1951666666666666,1902
Alex Gonzalez,3005,10753,1290,2627,606,58,294,1226,692,2333,127,70,8.259,10.632,18.891,29,1994,2014,0.2309999999999999,1982
Alex Gordon,1753,6391,867,1643,357,26,190,749,684,1535,113,45,4.676,5.587,10.263,14,2007,2020,0.2500714285714285,1991
Alex Grammas,913,2073,236,512,90,10,12,163,206,193,17,14,3.007,2.974,5.981,10,1954,1963,0.2384,1936
Alex Guerrero,117,232,25,52,9,1,11,36,7,63,1,0,0.338,0.511,0.849,2,2014,2015,0.155,1992
Alex Herman,22,66,11,17,1,1,1,8,2,0,5,0,0.279,0.348,0.627,1,1932,1932,0.258,1910
Alex Hernandez,27,71,4,13,3,0,1,5,0,15,1,1,0.291,0.391,0.6819999999999999,2,2000,2001,0.1455,1978
Alex Hooks,15,44,4,10,3,0,0,4,3,10,0,0,0.277,0.295,0.572,1,1935,1935,0.227,1913
Alex Jackson,124,302,30,40,12,0,6,24,26,142,1,0,1.122,1.153,2.275,5,2019,2024,0.1589999999999999,1999
Alex Johnson,1322,4623,550,1331,180,33,78,525,244,626,113,63,4.085,4.944,9.029,13,1964,1976,0.2741538461538461,1948
