name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
Adam Kennedy,1691,5473,682,1488,288,42,80,571.0,401,839.0,179.0,62.0,4.53,5.296,9.826,14,1999,2012,0.2682857142857143
Adam LaRoche,1605,5593,752,1452,340,13,255,882.0,649,1407.0,13.0,11.0,3.9859999999999998,5.384,9.37,12,2004,2015,0.254
Adam Lind,1344,4577,588,1247,259,12,200,723.0,393,945.0,7.0,5.0,4.021,5.659,9.68,12,2006,2017,0.28025
Adam Loewen,14,32,4,6,1,0,1,4.0,3,13.0,0.0,0.0,0.297,0.313,0.61,1,2011,2011,0.188
Adam Melhuse,311,735,76,172,40,1,24,98.0,57,193.0,1.0,2.0,2.232,2.794,5.026,8,2000,2008,0.219
Adam Moore,104,292,21,58,12,0,7,23.0,13,95.0,2.0,1.0,2.107,2.946,5.053,9,2009,2018,0.19255555555555556
Adam Piatt,212,521,62,129,31,6,16,65.0,57,149.0,3.0,4.0,1.268,1.637,2.905,4,2000,2003,0.24275
Adam Riggs,61,153,18,33,9,1,3,10.0,16,30.0,6.0,2.0,1.129,1.242,2.371,4,1997,2004,0.20850000000000002
Adam Rosales,653,1621,186,367,69,6,48,179.0,135,451.0,17.0,12.0,3.028,3.8040000000000003,6.832,11,2008,2018,0.21418181818181817
Adam Stern,54,43,7,5,1,0,1,7.0,0,10.0,2.0,1.0,0.378,0.533,0.911,4,2005,2010,0.07075000000000001
Adam Young,16,39,2,3,0,0,0,1.0,8,2.0,0.0,0.0,0.265,0.077,0.342,1,1941,1941,0.077
Addison Barger,69,208,20,41,11,0,7,28.0,14,60.0,2.0,0.0,0.25,0.351,0.601,1,2024,2024,0.197
Addison Russell,615,1987,256,480,100,9,60,253.0,186,532.0,17.0,5.0,1.557,1.955,3.512,5,2015,2019,0.2412
Adeiny Hechavarría,922,3071,311,778,116,36,37,273.0,163,550.0,35.0,19.0,2.622,3.203,5.825,9,2012,2020,0.253
Adley Rutschman,415,1557,222,407,87,3,52,201.0,215,290.0,6.0,2.0,1.054,1.271,2.325,3,2022,2024,0.26033333333333336
Admiral Schlei,640,1918,195,455,52,21,6,209.0,172,11.0,38.0,0.0,2.158,2.013,4.171,8,1904,1911,0.2045
Adolfo Phillips,649,1875,270,463,86,21,59,173.0,251,485.0,82.0,44.0,2.589,2.63,5.219,8,1964,1972,0.21075
Adolis García,631,2344,344,560,117,7,122,384.0,183,740.0,61.0,17.0,1.4589999999999999,1.9940000000000002,3.453,6,2018,2024,0.18000000000000002
Adonis García,244,896,104,239,45,0,29,110.0,36,151.0,7.0,2.0,0.877,1.25,2.127,3,2015,2017,0.26233333333333336
Adonis Terry,256,979,142,249,24,22,8,144.0,66,34.0,88.5,0.0,0.88,1.008,1.888,3,1885,1890,0.24700000000000003
Adrian Beltré,2933,11068,1524,3166,636,38,477,1707.0,848,1732.0,121.0,42.0,7.079,9.974,17.053,21,1998,2018,0.2835714285714286
