name,birth,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,OPS,FY,LY,AY
가득염,1969,16,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2001,2010,10
가르시아,1975,469,1906,1697,257,447,85,5,105,857,347,15,12,187,10,422,31,2.439,1.642,28,4.081,2002,2011,10
가르시아,1985,50,206,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,0.902,2018,2018,1
가르시아,1993,39,156,136,21,28,6,1,4,48,19,4,1,19,1,40,4,0.353,0.308,6,0.661,2022,2022,1
가코,1981,58,220,189,21,46,8,0,1,57,28,0,1,22,5,34,12,0.302,0.332,1,0.634,2011,2011,1
강건,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,1
강경학,1992,516,1390,1167,185,277,36,12,13,376,104,14,11,162,21,304,22,2.348,2.564,47,4.912,2011,2021,11
강광회,1968,34,10,10,5,3,0,0,0,3,0,1,1,0,0,2,0,0.833,0.833,0,1.666,1990,1994,5
강구성,1993,13,16,16,0,2,2,0,0,4,1,0,0,0,0,5,0,0.8,0.4,0,1.2,2013,2018,6
강귀태,1979,816,2040,1833,176,468,76,4,31,645,215,9,12,124,15,262,58,3.792,3.276,32,7.068,2002,2012,11
강규철,1974,51,55,52,6,9,0,0,1,12,3,0,1,1,1,8,1,0.767,0.511,6,1.278,1997,2001,5
강기웅,1964,671,2567,2287,328,667,94,18,61,980,304,111,42,175,24,209,54,3.251,2.581,49,5.832,1989,1996,8
강남규,1968,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,1991,1
강대호,1974,40,70,60,5,11,1,0,1,15,7,0,1,7,2,25,1,0.467,0.546,0,1.013,1997,1998,2
강동연,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020,5
강동우,1974,1427,5319,4613,687,1247,199,32,75,1735,456,133,58,556,23,611,102,4.935,5.009,16,9.944,1998,2013,16
강두곤,1969,74,80,72,11,12,3,0,0,15,4,2,0,4,2,12,4,0.62,0.71,5,1.33,1992,1995,4
강로한,1992,164,375,350,53,78,15,6,6,123,30,9,3,19,4,137,3,0.993,0.921,23,1.914,2015,2022,8
강명구,1980,581,334,297,153,57,7,2,1,71,26,111,24,25,5,62,9,1.698,2.086,18,3.784,2003,2014,12
강민국,1992,197,303,275,32,63,6,1,1,74,22,2,1,19,0,54,4,1.39,1.583,22,2.973,2014,2022,9
강민규,1975,129,202,185,26,38,5,2,3,56,22,8,4,12,2,51,0,1.194,0.929,4,2.123,1998,2001,4
강민성,1999,13,28,23,2,4,1,0,0,5,0,0,0,4,0,10,0,0.227,0.308,2,0.535,2023,2024,2
강민호,1985,2369,8709,7620,969,2111,374,12,338,3523,1242,32,33,803,162,1529,244,9.162,7.04,148,16.202,2004,2024,21
강백호,1999,802,3440,3006,499,924,186,6,121,1485,504,38,19,395,14,615,42,3.351,2.652,45,6.003,2018,2024,7
강병규,1972,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,1999,1
강병선,1965,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1988,1988,1
강병수,1984,16,13,11,3,0,0,0,0,0,0,0,0,2,0,7,0,0,0.154,0,0.154,2009,2009,1
강병식,1977,761,1528,1305,147,308,56,5,39,491,174,11,12,166,32,305,35,3.845,3.576,18,7.421,2002,2012,11
강병우,1986,11,2,2,2,1,0,0,0,1,0,2,2,0,0,0,0,0.5,0.5,0,1,2010,2010,1
강병의,1992,8,3,3,0,1,0,0,0,1,0,1,2,0,0,1,0,0.333,0.333,1,0.666,2015,2015,1
강봉규,1978,909,2336,1991,320,522,99,10,49,788,262,63,19,269,27,410,53,4.928,4.713,18,9.641,2000,2015,16
강상수,1971,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2006,6
강상원,1997,75,70,57,15,7,1,0,0,8,3,4,0,10,1,18,0,0.394,0.655,0,1.049,2017,2022,6
강석,1974,7,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,1994,1
강석천,1967,1458,5418,4833,670,1342,246,31,93,1929,542,192,95,371,88,684,139,5.888,4.913,157,10.801,1989,2003,15
강성우,1970,959,2001,1787,130,407,61,8,6,502,167,9,10,102,16,252,51,3.945,3.738,43,7.683,1992,2005,14
강성우,2005,2,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0.5,0.5,0,1,2024,2024,1
강승구,2003,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,2024,1
강승현,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,1
강승호,1994,701,2415,2194,298,568,123,18,52,883,309,53,21,139,28,600,44,2.95,2.272,80,5.222,2016,2024,9
강신창,1974,9,6,6,1,2,0,0,0,2,1,0,1,0,0,2,0,0.5,0.5,0,1,1997,1998,2
강영수,1965,831,2474,2092,274,464,82,9,86,822,311,18,14,329,17,524,46,3.673,3.197,44,6.87,1989,1998,10
강영수,1973,35,77,72,7,16,5,0,1,24,3,2,0,2,1,15,2,0.333,0.253,0,0.586,1996,1996,1
강영식,1981,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2002,2014,13
강윤구,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2022,6
강인권,1972,710,1494,1252,114,305,41,2,8,374,119,7,12,160,35,264,20,3.215,4.063,42,7.278,1995,2006,12
강장산,1990,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2017,3
강재민,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2023,3
강정길,1962,1039,3337,2871,302,765,134,9,52,1073,387,27,32,351,45,362,83,3.686,3.493,52,7.179,1986,1995,10
강정남,1960,26,54,50,5,5,3,0,0,8,2,0,0,2,1,13,0,0.16,0.151,1,0.311,1984,1984,1
