name,birth,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,OPS,FY,LY,AY
강정호,1987,902,3560,3070,470,916,193,10,139,1546,545,51,28,387,50,601,100,3.879,2.969,103,6.848,2006,2014,9
강종필,1967,426,650,564,111,136,16,3,15,203,54,39,15,55,13,148,11,2.037,2.009,6,4.046,1989,1997,9
강준기,1973,4,4,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0.25,0.25,0,0.5,1996,1996,1
강준서,2000,10,15,14,2,3,1,0,0,4,0,0,1,1,0,2,0,0.286,0.267,0,0.553,2023,2023,1
강지광,1990,56,105,88,13,18,2,0,1,23,9,1,3,13,2,35,1,0.551,0.697,2,1.248,2014,2018,5
강진규,1968,36,54,51,6,6,0,0,0,6,1,0,0,2,0,10,1,0.259,0.342,3,0.601,1991,1992,2
강진성,1993,476,1378,1236,145,325,64,2,26,471,155,24,5,88,33,200,37,3.78,3.179,19,6.959,2013,2024,12
강태원,1971,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1991,2001,11
강태윤,1965,125,240,209,11,52,5,0,2,63,18,0,2,22,2,39,4,0.878,0.955,0,1.833,1993,1995,3
강태율,1996,65,99,81,3,10,2,0,3,21,10,0,1,13,1,25,4,1.356,1.032,5,2.388,2016,2024,9
강필선,1972,5,12,12,2,3,1,0,1,7,1,0,0,0,0,3,0,0.636,0.273,1,0.909,1999,2001,3
강한울,1991,847,2392,2162,276,576,67,18,2,685,159,43,27,154,5,422,25,2.974,2.958,82,5.932,2014,2024,11
강혁,1974,428,1035,930,99,232,45,0,18,331,115,2,7,85,5,141,27,1.858,2.062,10,3.92,1999,2007,9
강현구,2002,3,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0.333,0.6,2,0.933,2022,2022,1
강현우,2001,97,179,159,17,34,9,0,3,52,22,0,1,16,1,38,4,1.111,0.966,5,2.077,2020,2024,5
강현철,1968,9,11,9,1,2,0,1,0,4,0,0,0,2,0,4,0,0.667,0.679,0,1.346,1992,1993,2
강형석,1968,241,451,395,45,88,17,6,5,132,41,10,3,35,17,71,10,1.805,1.716,3,3.521,1990,1997,8
강호규,1970,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,2,1,0,3,1990,1990,1
강효섭,1973,41,42,40,2,8,0,0,0,8,1,3,0,2,0,7,0,0.693,0.755,3,1.448,1993,1996,4
경헌호,1977,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2009,9
계기범,1970,76,170,159,19,37,4,1,2,49,16,4,3,6,0,40,4,1.221,0.979,2,2.2,1993,1997,5
고광수,1963,10,10,9,0,1,0,0,0,1,1,0,0,1,0,3,0,0.25,0.4,0,0.65,1986,1987,2
고기성,1970,255,376,331,36,71,12,2,3,96,28,6,6,30,3,78,5,1.387,1.348,1,2.735,1993,1998,6
고도현,1990,8,11,11,0,3,0,0,0,3,2,0,0,0,0,4,0,0.536,0.536,0,1.072,2013,2014,2
고동진,1980,820,2652,2296,311,572,97,7,21,746,201,62,34,214,73,428,52,3.212,3.194,19,6.406,2004,2015,12
고메즈,1988,117,492,456,74,129,31,0,21,223,62,16,8,25,5,87,11,0.489,0.324,25,0.813,2016,2016,1
고명성,1999,43,21,19,5,2,0,0,0,2,0,0,0,2,0,7,1,0.125,0.222,2,0.347,2018,2022,5
고명준,2002,111,375,349,33,85,13,0,11,131,45,3,4,25,1,96,5,0.385,0.303,5,0.688,2021,2024,4
고봉재,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,1
고상천,1978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,1
고승민,2000,336,1191,1053,152,300,62,11,21,447,147,14,11,112,2,205,19,1.62,1.354,19,2.974,2019,2024,6
고승훈,1969,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1991,1991,1
고영민,1984,879,2727,2306,427,581,100,15,46,849,292,133,47,278,84,553,49,4.875,4.468,59,9.343,2002,2016,15
고영우,2001,94,290,254,21,65,12,2,0,81,35,0,0,28,1,71,5,0.319,0.329,12,0.648,2024,2024,1
고영창,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,1
고영표,1991,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,2021,7
고우석,1984,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2011,9
고우석,1998,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2023,7
고원부,1962,594,2170,1881,239,526,71,9,37,726,245,52,33,229,16,159,59,2.551,2.428,23,4.979,1986,1992,7
고원준,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2010,1
고장혁,1990,291,261,239,61,45,10,1,1,60,15,12,8,12,5,64,3,1.602,1.478,15,3.08,2013,2020,8
고정식,1965,76,133,122,12,30,4,0,0,34,5,1,0,9,1,17,5,1.267,1.358,1,2.625,1988,1993,6
고종욱,1989,1060,3374,3159,480,955,163,36,47,1331,397,128,60,170,17,661,54,4.525,3.786,20,8.311,2011,2024,14
고지행,1978,119,360,320,43,86,9,0,6,113,35,9,5,21,3,79,9,0.687,0.59,13,1.277,2003,2005,3
고창성,1984,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2018,10
고효준,1983,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2023,20
공민규,1999,77,132,117,5,23,2,1,4,39,12,0,0,10,4,50,2,1.168,1.037,5,2.205,2019,2024,6
공봉구,1967,48,123,104,11,23,7,1,0,32,8,2,1,17,0,16,3,0.308,0.325,3,0.633,1991,1991,1
공유선,1974,13,38,34,1,7,1,0,1,11,3,0,0,3,0,9,0,0.324,0.263,0,0.587,1994,1994,1
공의식,1970,168,374,313,35,60,12,2,12,112,42,10,7,48,5,108,6,1.088,0.922,4,2.01,1993,1997,5
공필성,1967,1184,3576,3061,363,760,151,26,41,1086,346,106,46,276,94,581,61,3.791,3.499,120,7.29,1990,2000,11
곽권희,1966,159,316,275,35,63,12,1,5,92,27,4,4,28,2,60,5,1.411,1.383,12,2.794,1988,1992,5
곽도규,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,1
곽동열,1955,42,52,47,7,14,3,0,1,20,4,0,0,1,2,10,1,0.852,0.674,2,1.526,1988,1989,2
곽연수,1967,300,723,648,47,140,27,4,8,199,61,1,4,48,8,94,17,1.774,1.637,2,3.411,1989,1994,6
곽용섭,1983,15,23,22,0,3,1,0,0,4,0,0,0,1,0,10,0,0.267,0.25,0,0.517,2003,2009,7
곽정철,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2011,3
구대성,1969,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2009,4
구동환,1963,3,5,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0.25,0.4,0,0.65,1991,1991,1
구드럼,1992,50,201,173,16,51,14,1,0,67,28,0,0,23,1,46,6,0.387,0.373,13,0.76,2023,2023,1
구민호,1977,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2001,1
구본혁,1997,438,627,548,88,121,17,3,4,156,59,10,5,54,9,93,9,0.956,1.027,18,1.983,2019,2024,6
구승민,1990,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2022,5
구윤,1963,399,1079,971,101,240,49,2,13,332,104,21,23,75,14,260,13,2.792,2.584,12,5.376,1986,1994,9
구자욱,1993,1210,5307,4699,879,1495,300,56,167,2408,786,140,37,478,66,910,48,5.104,3.849,41,8.953,2015,2024,10
구자운,1980,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2004,2
구재서,1963,247,38,33,61,4,1,0,0,5,2,10,7,2,1,5,2,0.841,0.999,2,1.84,1982,1989,8
구창모,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,1
구천서,1963,840,2235,1864,269,455,61,16,22,614,177,75,37,245,35,330,29,3.591,3.99,73,7.581,1982,1993,12
구한성,1970,161,268,230,27,45,4,0,6,67,21,1,0,26,4,51,3,1.266,1.354,6,2.62,1992,1998,7
국해성,1989,220,483,424,65,101,22,0,11,156,67,3,2,44,9,110,11,2.618,2.463,4,5.081,2012,2023,12
권광민,1997,117,219,192,27,40,7,2,6,69,26,2,1,22,2,71,2,1.153,0.884,3,2.037,2022,2024,3
권다결,2002,7,20,20,1,5,0,0,0,5,1,0,0,0,0,6,2,0.722,0.722,0,1.444,2021,2022,2
권도영,1981,166,296,259,29,62,13,1,1,80,18,1,2,24,3,59,5,1.269,1.278,4,2.547,2007,2010,4
권동진,1998,143,136,114,33,24,6,1,1,35,10,7,3,20,0,48,0,0.806,0.866,10,1.672,2021,2024,4
권두조,1951,588,1884,1603,149,352,53,9,1,426,112,24,31,157,22,159,34,1.571,1.748,97,3.319,1982,1987,6
권명철,1969,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1995,1
권민석,1999,105,77,69,17,16,4,0,0,20,8,1,0,4,0,24,0,0.657,0.558,3,1.215,2020,2023,4
권민성,1981,10,14,13,0,3,2,0,0,5,3,0,0,0,1,5,0,0.385,0.286,0,0.671,2005,2005,1
권영근,1981,12,7,7,4,3,1,0,0,4,1,0,0,0,0,2,0,1.1,0.9,0,2,2004,2005,2
권영준,1986,11,14,13,2,3,0,0,0,3,0,0,0,0,1,6,0,0.231,0.286,0,0.517,2012,2012,1
권영진,1984,35,42,41,1,7,0,0,1,10,3,0,0,1,0,5,1,0.59,0.527,1,1.117,2008,2012,5
권영호,1954,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1988,1
권오성,1970,119,208,180,13,34,5,0,2,45,19,0,0,15,7,51,4,0.777,1.019,3,1.796,1996,1999,4
권오영,1970,41,69,66,6,12,2,0,1,17,9,0,0,1,1,19,1,0.646,0.406,1,1.052,1996,1999,4
권오준,1980,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2019,17
권오현,1978,103,161,144,17,26,10,1,1,41,3,6,2,6,7,42,3,0.825,0.644,1,1.469,2001,2003,3
권용관,1976,1325,3509,3070,348,698,102,28,47,997,300,62,37,198,68,730,64,5.54,4.848,144,10.388,1996,2016,21
권윤민,1979,11,20,19,0,5,0,1,0,7,0,0,0,0,1,4,2,0.368,0.3,0,0.668,2007,2007,1
권재광,1971,64,108,100,8,14,2,0,1,19,8,1,0,6,1,26,1,0.811,0.81,1,1.621,1993,1996,4
권정웅,1992,75,124,110,12,22,3,0,6,43,11,0,0,9,1,31,4,1.424,1.778,1,3.202,2016,2021,6
권준헌,1971,485,1453,1322,127,338,59,5,17,458,133,26,18,87,4,250,39,2.991,2.513,72,5.504,1990,2004,15
권혁,1983,19,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2002,2019,18
권휘,2000,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,2024,5
권희동,1990,1076,3815,3216,458,858,147,8,101,1324,521,30,10,446,74,588,64,4.457,4.01,22,8.467,2013,2024,12
금광옥,1956,413,1294,1164,113,273,47,4,29,415,125,6,8,105,8,169,22,2.302,2,18,4.302,1982,1988,7
금민철,1986,11,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0.5,2005,2009,5
기론,1972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2003,1
길랑균,1968,8,6,6,1,1,0,0,0,1,0,0,0,0,0,3,0,0.167,0.167,0,0.334,1994,1994,1
길홍규,1965,365,661,591,55,150,17,0,8,191,66,8,6,50,1,97,25,3.232,2.816,5,6.048,1988,1996,9
김갑중,1970,224,486,437,42,108,20,4,4,148,41,6,9,25,5,79,15,2.013,1.841,12,3.854,1993,1999,7
김강,1988,30,57,51,2,15,3,0,0,18,5,0,0,5,1,13,1,1.158,1.223,1,2.381,2007,2011,5
김강률,1988,20,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2008,2024,17
김강민,1982,1960,6134,5440,810,1487,266,24,139,2218,681,209,108,484,84,1135,90,8.606,7.456,42,16.062,2002,2024,23
김강석,1985,6,7,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0.2,0.2,0,0.4,2009,2010,2
김강현,1995,7,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.25,0,0.25,2020,2024,5
김건,2000,16,29,29,3,5,0,0,0,5,0,0,0,0,0,13,0,0.65,0.65,2,1.3,2020,2023,4
김건우,1963,150,498,459,50,117,18,1,13,176,60,3,0,34,1,86,10,1.009,0.804,7,1.813,1989,1993,5
김건웅,2000,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2023,2023,1
김건태,1991,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2021,12
김건한,1981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2014,14
김건형,1996,24,64,57,6,10,2,0,0,12,1,1,0,7,0,14,0,0.409,0.493,0,0.902,2021,2024,4
김건희,2004,92,296,272,27,69,15,0,9,111,38,0,0,20,0,86,8,0.6,0.608,5,1.208,2023,2024,2
김경갑,1960,105,200,179,14,43,5,0,6,66,26,1,0,19,0,32,4,0.714,0.565,8,1.279,1986,1987,2
김경기,1968,1182,4576,4020,515,1106,206,13,138,1752,598,42,39,449,65,615,111,5.071,4.289,94,9.36,1990,2001,12
김경남,1959,360,936,852,71,178,33,8,7,248,61,6,5,47,4,120,26,1.647,1.539,12,3.186,1982,1988,7
김경모,1989,11,5,5,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2008,2012,5
김경문,1958,703,1671,1493,120,329,59,2,6,410,126,17,19,89,21,150,24,2.689,2.698,45,5.387,1982,1991,10
김경수,1967,24,20,19,3,4,1,0,0,5,0,4,1,1,0,6,2,0.697,0.773,2,1.47,1991,1993,3
김경언,1982,1183,3455,2973,385,805,144,18,55,1150,393,56,42,374,25,657,49,5.948,5.534,21,11.482,2001,2017,17
김경원,1971,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1995,1999,5
김경진,1976,201,319,279,42,58,10,0,5,83,25,1,1,19,11,63,9,2.212,1.968,7,4.18,1999,2007,9
김경태,1975,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2007,4
김경태,1991,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2019,9
김경표,1960,245,478,413,45,97,12,4,3,126,36,16,8,50,2,68,8,1.593,1.866,21,3.459,1984,1989,6
김경하,1970,157,281,248,26,53,8,3,3,76,21,4,1,19,5,43,2,0.708,0.696,2,1.404,1993,1996,4
김경호,1963,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1986,1986,1
김경호,1972,10,13,11,1,2,0,0,0,2,1,0,1,2,0,1,0,0.182,0.308,2,0.49,1996,1996,1
김경호,1995,88,137,131,21,35,4,1,0,41,11,1,4,3,0,23,2,0.564,0.495,0,1.059,2019,2020,2
김경훈,1957,30,41,35,3,3,1,0,0,4,1,1,0,5,0,9,1,0.114,0.2,2,0.314,1982,1982,1
김광림,1961,1638,5462,4761,619,1358,194,50,35,1757,432,170,101,480,24,537,57,5.728,5.478,31,11.206,1984,1999,16
김광삼,1980,17,17,17,1,5,1,0,0,6,1,0,1,0,0,3,0,0.462,0.385,0,0.847,2003,2012,10
김광수,1959,1046,4081,3456,434,859,115,13,27,1081,306,190,101,393,50,267,87,3.434,3.668,73,7.102,1982,1992,11
김광수,1981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017,6
김광연,1991,12,18,18,2,5,0,0,0,5,1,0,0,0,0,4,1,0.625,0.625,0,1.25,2013,2014,2
김광우,1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,1
김광윤,1964,19,15,14,0,2,0,0,0,2,0,0,0,1,0,1,1,0.154,0.214,0,0.368,1988,1990,3
김광현,1971,77,143,127,10,30,9,3,0,45,10,1,0,12,1,36,4,1.466,1.44,3,2.906,1994,1999,6
김광현,1988,3,3,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2007,2010,4
김광희,1983,6,11,9,3,4,1,1,0,7,2,0,0,2,0,2,1,0.778,0.545,0,1.323,2003,2003,1
김구길,1953,32,70,64,1,13,1,0,0,14,2,1,1,3,0,15,0,0.219,0.239,3,0.458,1982,1982,1
김규남,1995,6,12,12,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2021,2022,2
김규민,1993,266,720,642,98,169,19,5,7,219,72,11,8,55,12,187,10,1.312,1.239,10,2.551,2017,2020,4
김규성,1997,353,467,413,77,82,10,3,6,116,30,9,4,34,2,116,3,1.364,1.34,23,2.704,2020,2024,5
김근석,1962,395,1133,1020,92,258,45,0,14,345,98,8,14,57,28,107,23,1.952,1.788,35,3.74,1983,1988,6
김기덕,1968,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1995,1997,3
김기동,1978,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2001,1
김기범,1965,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,1998,8
김기성,1976,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,1998,1
김기연,1997,137,332,295,34,76,10,0,5,101,34,1,2,27,2,60,5,0.717,0.79,6,1.507,2018,2024,7
김기철,1962,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1985,1985,1
김기탁,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021,1
김기태,1969,1544,6003,4975,816,1465,299,27,249,2565,923,83,66,948,27,862,116,7.194,5.909,32,13.103,1991,2005,15
김기태,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2014,1
김기표,1983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2015,1
김기현,1987,24,27,24,3,6,1,0,0,7,0,0,0,3,0,10,0,0.679,0.791,0,1.47,2009,2016,8
김기현,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2015,1
김기홍,1970,89,177,164,13,39,8,0,1,50,14,3,2,5,0,22,2,1.381,1.159,11,2.54,1989,1993,5
김기환,1976,8,20,20,2,5,0,0,1,8,4,0,0,0,0,8,0,0.767,0.495,0,1.262,1999,2000,2
김기환,1995,139,282,255,46,55,13,3,3,83,19,29,6,21,2,83,1,1.633,1.06,4,2.693,2020,2022,3
김기훈,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,2023,1
김남형,1988,32,31,28,4,6,1,0,0,7,3,2,1,1,0,10,0,0.318,0.304,2,0.622,2007,2012,6
김다원,1985,283,601,542,67,132,24,1,13,197,55,4,2,32,21,157,15,1.441,1.309,4,2.75,2010,2016,7
김대륙,1992,179,180,156,15,23,3,2,0,30,8,0,1,14,5,54,2,0.582,0.716,13,1.298,2015,2017,3
김대우,1984,147,373,325,34,69,18,3,7,114,42,8,4,41,3,131,6,1.255,1.592,4,2.847,2012,2020,9
김대우,1988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2024,14
김대원,1978,15,2,2,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2002,2002,1
김대원,2001,19,4,4,5,2,0,0,0,2,0,2,1,0,0,1,0,0.5,0.5,0,1,2024,2024,1
김대익,1973,1193,3834,3372,481,910,177,24,45,1270,332,102,67,315,30,573,46,4.29,3.975,24,8.265,1996,2007,12
김대중,1963,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,1991,1
김대진,1955,275,660,568,61,135,17,2,8,180,46,5,2,52,14,77,8,1.529,1.45,9,2.979,1983,1987,5
김대한,2000,164,306,267,37,49,10,2,6,81,25,4,5,23,9,83,1,0.931,0.982,5,1.913,2019,2024,6
김대헌,1972,19,24,24,2,6,0,1,0,8,1,2,1,0,0,6,0,0.563,0.438,0,1.001,1996,1997,2
김대현,1997,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2024,9
김덕윤,1982,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2008,5
김도균,1974,9,8,8,0,2,0,0,0,2,1,0,0,0,0,1,0,0.25,0.25,0,0.5,1997,1997,1
김도영,2003,328,1264,1108,252,345,60,19,48,587,175,78,11,126,11,234,27,1.462,1.103,56,2.565,2022,2024,3
김도현,1992,15,31,27,0,5,0,0,0,5,1,0,1,2,1,10,2,0.583,0.754,0,1.337,2011,2014,4
김도형,1974,11,13,7,0,2,0,0,0,2,1,0,0,1,4,0,0,0.286,0.583,0,0.869,1997,1997,1
김도환,2000,130,212,185,10,35,10,0,2,51,17,0,1,16,2,73,0,0.939,1.029,3,1.968,2019,2024,6
김동건,1982,76,110,98,8,16,1,1,2,25,7,0,0,6,2,31,3,1.315,1.595,5,2.91,2001,2013,13
