name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
문보경,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69102.jpg,2000,2025,LG,0.3,41,179,150,28,45,6,0,8,75,33,0,0,25,2,31,4,0.5,0.402,6
문상철,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64007.jpg,1991,2025,KT,0.231,30,102,91,7,21,3,1,1,29,5,0,1,9,1,22,3,0.319,0.304,0
문성주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68119.jpg,1997,2025,LG,0.282,34,115,103,13,29,4,0,0,33,14,2,1,11,0,13,2,0.32,0.348,0
문정빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52121.jpg,2003,2025,LG,0.105,14,22,19,2,2,0,0,1,5,3,0,0,1,2,7,0,0.263,0.227,0
문현빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53764.jpg,2004,2025,한화,0.313,39,148,134,17,42,8,0,7,71,27,7,1,8,3,23,0,0.53,0.358,0
박건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79215.jpg,1990,2025,NC,0.383,18,57,47,6,18,6,0,0,24,9,0,1,7,1,4,1,0.511,0.456,1
박계범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64468.jpg,1996,2025,두산,0.2,23,62,55,8,11,3,1,0,16,6,0,0,4,0,18,3,0.291,0.254,1
박동원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79365.jpg,1990,2025,LG,0.315,41,152,127,26,40,5,0,10,75,28,2,0,20,2,28,3,0.591,0.411,1
박명근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53139.jpg,2004,2025,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69056.jpg,2000,2025,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박민우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62907.jpg,1993,2025,NC,0.301,33,130,113,20,34,10,3,0,50,13,7,3,12,4,18,0,0.442,0.388,3
박병호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75125.jpg,1986,2025,삼성,0.214,42,141,117,18,25,3,0,9,55,20,0,0,17,5,43,3,0.47,0.333,1
박성한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67893.jpg,1998,2025,SSG,0.211,38,159,133,17,28,7,0,2,41,16,1,2,23,1,31,1,0.308,0.329,5
박세혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62244.jpg,1990,2025,NC,0.088,21,37,34,4,3,0,0,1,6,3,0,0,3,0,16,2,0.176,0.162,2
박수종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52305.jpg,1999,2025,키움,0.1,6,10,10,0,1,0,0,0,1,0,1,0,0,0,2,0,0.1,0.1,0
박승욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62802.jpg,1992,2025,롯데,0.143,15,17,14,1,2,1,0,0,3,0,1,0,1,1,5,0,0.214,0.25,2
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2025,NC,0.22,33,47,41,11,9,2,0,1,14,2,1,0,5,0,13,0,0.341,0.304,0
박신지,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68249.jpg,1999,2025,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2025,NC,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
박윤성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53301.jpg,2004,2025,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박재엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55563.jpg,2006,2025,롯데,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
박재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55636.jpg,2006,2025,KIA,0.107,25,30,28,6,3,1,0,0,4,0,3,1,2,0,10,0,0.143,0.167,1
박정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67609.jpg,1998,2025,KIA,0.231,27,36,26,9,6,2,0,0,8,3,1,1,9,1,6,1,0.308,0.444,0
박주성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69328.jpg,2000,2025,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2025,키움,0.219,34,83,73,6,16,2,0,2,24,8,6,0,8,0,28,1,0.329,0.293,0
박준순,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55252.jpg,2006,2025,두산,0.167,7,7,6,0,1,0,0,0,1,0,0,1,1,0,1,0,0.167,0.286,0
박준영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66928.jpg,1997,2025,두산,0.229,38,124,109,9,25,8,0,1,36,10,2,0,10,3,32,1,0.33,0.309,8
박준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54503.jpg,2005,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박지환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54805.jpg,2005,2025,SSG,0.167,18,54,48,3,8,0,0,0,8,4,0,1,3,0,16,1,0.167,0.212,5
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2025,두산,0.167,21,8,6,3,1,0,0,0,1,0,0,0,0,1,2,1,0.167,0.286,1
박진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69594.jpg,1999,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박찬호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64646.jpg,1995,2025,KIA,0.272,31,136,114,17,31,5,0,1,39,11,8,1,18,0,14,3,0.342,0.368,4
박한결,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53992.jpg,2004,2025,NC,0.118,8,19,17,2,2,0,0,2,8,3,0,0,2,0,8,0,0.471,0.211,0
박해민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62415.jpg,1990,2025,LG,0.25,41,150,120,19,30,5,1,0,37,6,9,5,20,1,40,2,0.308,0.359,0
배정대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64166.jpg,1995,2025,KT,0.193,39,123,109,6,21,5,2,1,33,12,3,2,5,3,33,0,0.303,0.244,1
배찬승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55455.jpg,2006,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
변상권,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68305.jpg,1997,2025,키움,0.25,9,17,16,2,4,1,0,0,5,2,0,0,0,0,2,0,0.313,0.235,0
변우혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69727.jpg,2000,2025,KIA,0.241,32,118,108,9,26,7,0,0,33,16,0,0,9,1,34,3,0.306,0.305,4
서건창,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78168.jpg,1989,2025,KIA,0.136,10,26,22,1,3,1,0,1,7,2,1,0,2,0,5,1,0.318,0.208,0
서유신,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53309.jpg,2000,2025,키움,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
서호철,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69995.jpg,1996,2025,NC,0.293,31,85,75,5,22,3,0,1,28,10,3,1,4,1,11,2,0.373,0.333,2
석정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52804.jpg,1999,2025,SSG,0.167,4,7,6,0,1,0,0,0,1,0,0,0,1,0,2,0,0.167,0.286,1
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2025,롯데,-,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0
손아섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77532.jpg,1988,2025,NC,0.35,36,136,120,14,42,7,3,0,55,21,0,2,14,0,17,1,0.458,0.415,0
손용준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54156.jpg,2000,2025,LG,0.2,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0.2,0.2,0
손주환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54904.jpg,2002,2025,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2025,롯데,0.232,27,108,95,7,22,2,0,0,24,10,1,0,7,2,18,5,0.253,0.295,4
송민섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64012.jpg,1991,2025,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
송성문,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65357.jpg,1996,2025,키움,0.252,44,188,163,28,41,11,0,8,76,24,5,0,24,0,25,2,0.466,0.346,3
송승환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69203.jpg,2000,2025,NC,0.25,5,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0.25,0.25,0
