name,pic_url,birth,현재_나이,예측_은퇴_나이,predict_year,last_season,커리어_시즌수
김인태,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62528.jpg,1994,31,31,2025,2025,10
김재성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63257.jpg,1996,29,29,2025,2025,7
김재혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65132.jpg,1999,26,27.99,2027,2025,3
김재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52424.jpg,1993,32,32,2025,2025,10
김재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62332.jpg,1988,37,37,2025,2025,15
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78224.jpg,2002,23,28.43,2030,2025,5
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2001,24,28.43,2029,2025,6
김진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,1985,40,40.74,2026,2025,11
김찬형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75867.jpg,1997,28,28.24,2025,2025,8
김창평,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66917.jpg,2000,25,28,2028,2025,5
김태군,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69825.jpg,1989,36,36,2025,2025,17
김태근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78122.jpg,1996,29,29,2025,2025,5
김태연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69207.jpg,1997,28,28.43,2025,2025,8
김태진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66704.jpg,1995,30,30,2025,2025,10
김태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64984.jpg,1996,29,29,2025,2025,7
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65040.jpg,2001,24,28.23,2029,2025,4
김헌곤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,1988,37,37,2025,2025,13
김현수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61404.jpg,1988,37,37,2025,2025,18
김형준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76290.jpg,1999,26,28.43,2027,2025,6
김호령,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68912.jpg,1992,33,33,2025,2025,9
김호진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65653.jpg,2005,20,28,2033,2025,2
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54460.jpg,2002,23,28.42,2030,2025,5
나성범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,1989,36,36,2025,2025,13
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62947.jpg,2002,23,28.43,2030,2025,3
노시환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2000,25,28.45,2028,2025,7
데이비슨,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69737.jpg,1991,34,34,2025,2025,2
도태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54944.jpg,1993,32,32,2025,2025,9
